107,Arcanator orostruthus,Dappled mountain robin,1
108,Arctocephalus townsendi,Guadalupe fur seal,3
109,Ardeotis (=Choriotis) nigriceps,Great Indian bustard,1
110,Arkansia wheeleri,Ouachita rock pocketbook,7
111,Assiminea pecos,Pecos assiminea snail,2
112,Ateles geoffroyi frontatus,Spider monkey,3
113,Ateles geoffroyl panamensis,Spider monkey,3
114,Atelopus varius zeteki,Panamanian golden frog,9
115,Athearnia anthonyi,Anthony's riversnail,2
116,Atrichornis clamosus,Noisy scrub-bird,1
117,Avahi laniger (entire genus),Avahi,3
118,Axis porcinus annamiticus,Indochina hog deer,3
119,Axis porcinus calamianensis,Calamianes (=Philippine) deer,3
120,Axis porcinus kuhli,Kuhl's (=Bawean) deer,3
121,Aythya innotata,Madagascar pochard,1
122,Babyrousa babyrussa,Babirusa,3
123,Balaena mysticetus,Bowhead whale,3
124,Balaenoptera borealis,Sei whale,3
125,Balaenoptera musculus,Blue whale,3
126,Balaenoptera physalus,Finback whale,3
127,Batagur baska,River terrapin,6
128,Batrachoseps aridus,Desert slender salamander,9
129,Batrisodes texanus,Coffin Cave mold beetle,8
130,Batrisodes venyivi,Helotes mold beetle,8
131,Bebrornis rodericanus,Rodrigues warbler (old world warbler),1
132,Bebrornis sechellensis,Seychelles warbler (old world warbler),1
133,Bettongia gaimardi,Gaimard's rat-kangaroo,3
134,Bettongia lesueur,Lesueur's rat-kangaroo,3
135,Bettongia penicillata,Brush-tailed rat-kangaroo,3
136,Bettongia tropica,Queensland rat-kangaroo,3
137,Bison bison athabascae,Wood Bison,3
138,Blastocerus dichotomus,Marsh deer,3
139,Boloria acrocnema,Uncompahgre fritillary butterfly,8
140,Bolyeria multocarinata,Round Island bolyeria boa,6
141,Bombus affinis,Rusty patched bumble bee,8
142,Bos gaurus,Seledang,3
143,Bos javanicus,Banteng,3
144,Bos mutus (=grunniens m.),Wild yak,3
145,Bos sauveli,Kouprey,3
146,Brachylagus idahoensis,Columbia Basin Pygmy Rabbit,3
147,Brachylophus fasciatus,Fiji banded iguana,6
148,Brachylophus vitiensis,Fiji crested iguana,6
149,Brachyramphus marmoratus,Marbled murrelet,1
150,Brachyteles arachnoides,Woolly spider monkey,3
151,Bradypus torquatus,Brazilian three-toed sloth,3
152,Branchinecta conservatio,Conservancy fairy shrimp,10
153,Branchinecta longiantenna,Longhorn fairy shrimp,10
154,Branchinecta lynchi,Vernal pool fairy shrimp,10
155,Branchinecta sandiegonensis,San Diego fairy shrimp,10
156,Branta (=Nesochen) sandvicensis,Hawaiian goose,1
157,Brychius hungerfordi,Hungerford's crawling water Beetle,8
158,Bubalus depressicornis,Lowland anoa,3
159,Bubalus mindorensis,Tamaraw,3
160,Bubalus quarlesi,Mountain anoa,3
161,Buceros (=Rhinoplax) vigil,Helmeted hornbill,1
162,Bufo hemiophrys baxteri,Wyoming Toad,9
163,Bufo houstonensis,Houston toad,9
164,Bufo periglenes,Monte Verde golden toad,9
165,Bufo superciliaris,Cameroon toad,9
166,Burramys parvus,Mountain pygmy possum,3
167,Buteo galapagoensis,Galapagos hawk,1
168,Buteo platypterus brunnescens,Puerto Rican broad-winged hawk,1
169,Buteo solitarius,Hawaiian (='lo) Hawk,1
170,Cacajao spp.,Uakari (all species),3
171,Cacatua alba,White cockatoo,1
172,Cacatua haematuropygia,Philippine cockatoo,1
173,Cacatua moluccensis,Salmon-crested cockatoo,1
174,Cacatua sulphurea,Yellow-crested cockatoo,1
175,Caiman crocodilus apaporiensis,Apaporis River caiman,6
176,Caiman crocodilus crocodilus,Common caiman,6
177,Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius),Brown Caiman,6
178,Caiman latirostris,Broad-snouted caiman,6
179,Caiman yacare,Yacare Caiman,6
180,Cairina scutulata,White-winged wood duck,1
181,Calidris canutus rufa,Red knot,1
182,Callaeas cinerea,Kokako (wattlebird),1
183,Callimico goeldii,Goeldi's marmoset,3
184,Callithrix aurita (=jacchus a.),White-eared (=buffy tufted-ear) marmoset,3
185,Callithrix flaviceps,Buff-headed marmoset,3
186,Callophrys mossii bayensis,San Bruno elfin butterfly,8
187,Caloprymnus campestris,Desert (=plain) rat-kangaroo,3
188,Camarhynchus pauper,Floreana tree-Finch,1
189,Cambarus aculabrum,Cave crayfish,10
190,Cambarus callainus,Big Sandy crayfish,10
191,Cambarus veteranus,Guyandotte River crayfish,10
192,Cambarus zophonastes,Cave crayfish,10
193,Camelus bactrianus,Bactrian camel,3
194,Campeloma decampi,Slender campeloma,2
195,Campephilus imperialis,Imperial woodpecker,1
196,Campephilus principalis,Ivory-billed woodpecker,1
197,Canis lupus,Gray wolf,3
198,Canis lupus baileyi,Mexican wolf,3
199,Canis rufus,Red wolf,3
200,Canis simensis,Simien fox,3
201,Cantharellus noumeae,No common name,4
202,Capra falconeri (=aegragrus) chiltanensis,Chiltan (=wild goat) markhor,3
203,Capra falconeri megaceros,Straight-horned markhor,3
204,Capra pyrenaica pyrenaica,Pyrenean ibex,3
205,Capra walie,Walia ibex,3
206,Caprimulgus noctitherus,Puerto Rican nightjar,1
207,Caprolagus hispidus,Hispid hare,3
208,Capromys angelcabrerai,Cabrera's hutia,3
209,Capromys auritus,Large-eared hutia,3
